STATE,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS,YEAR
Texas,480677.0,3.0,1.0,None,29,March,8:00pm-8:59pm,5,Curb,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Datsun/Nissan,473.0,Datsun/Nissan Titan (from 2004-06; see 481 for 2007 on),"Standard pickup (GVWR 4,500 to 10,00 lbs.)(Jeep Pickup, Comanche, Ram Pickup, D100-D350, ......)",2005.0,1N6BA07A85N5,1,N,6,B,A,0,7,A,8,5,N,5,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,6 Clock Point,Functional Damage,Towed Not Due to Disabling Damage,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480677.0,4.0,1.0,None,29,March,8:00pm-8:59pm,5,Curb,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Mitsubishi,34.0,Mitsubishi Galant,"4-door sedan, hardtop",2002.0,4A3AA46GX2E1,4,A,3,A,A,4,6,G,X,2,E,1,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,3 Clock Point,Minor Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480677.0,5.0,1.0,None,29,March,8:00pm-8:59pm,5,Curb,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Dodge,402.0,Dodge Durango (1998-2003 only; see model 422 for 2004 on),"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",2002.0,1B4HR48N02F2,1,B,4,H,R,4,8,N,0,2,F,2,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,Right-Front Side,Minor Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480773.0,2.0,1.0,01,9,April,6:00am-6:59am,20,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Within the Trafficway,No,Missouri,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Kenworth,881.0,Kenworth Medium/Heavy - CBE,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",2012.0,1XKAA49X2CJ2,1,X,K,A,A,4,9,X,2,C,J,2,One Trailing Unit,US DOT,70289,5770289,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Van/Enclosed Box,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,6 Clock Point,Functional Damage,Towed Not Due to Disabling Damage,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480815.0,2.0,1.0,None,14,April,12:00pm-12:59pm,43,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Unknown,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Chevrolet,481.0,"Chevrolet C, K, R, V-series pickup/Silverado","Standard pickup (GVWR 4,500 to 10,00 lbs.)(Jeep Pickup, Comanche, Ram Pickup, D100-D350, ......)",2008.0,3GCEK13M98G1,3,G,C,E,K,1,3,M,9,8,G,1,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,11 Clock Point,Functional Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480815.0,3.0,1.0,None,14,April,12:00pm-12:59pm,43,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Chevrolet,4.0,Chevrolet Corvette,"2-door sedan,hardtop,coupe",2007.0,1G1YY26U1751,1,G,1,Y,Y,2,6,U,1,7,5,1,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,9 Clock Point,Functional Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480815.0,4.0,1.0,None,14,April,12:00pm-12:59pm,43,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Chevrolet,421.0,Chevrolet Fullsize Blazer/Tahoe,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",2008.0,1GNFC13048R1,1,G,N,F,C,1,3,0,4,8,R,1,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,1 Clock Point,Minor Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480815.0,5.0,1.0,None,14,April,12:00pm-12:59pm,43,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Chevrolet,421.0,Chevrolet Fullsize Blazer/Tahoe,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",2008.0,1GNFC13058R1,1,G,N,F,C,1,3,0,5,8,R,1,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,12 Clock Point,Minor Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480815.0,6.0,1.0,None,14,April,12:00pm-12:59pm,43,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Ford,3.0,Ford Mustang/Mustang II,"2-door sedan,hardtop,coupe",2007.0,1ZVFT84N2751,1,Z,V,F,T,8,4,N,2,7,5,1,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,12 Clock Point,Minor Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480947.0,2.0,1.0,None,25,April,6:00am-6:59am,5,Fence,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Audi,43.0,Audi A4,"4-door sedan, hardtop",2004.0,WAULT68EX4A1,W,A,U,L,T,6,8,E,X,4,A,1,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,Not Reported,Disabling Damage,Not Towed,Rollover/Overturn,None,None,Yes,0.0,2014
Texas,480947.0,3.0,1.0,None,25,April,6:00am-6:59am,5,Fence,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Ford,17.0,Ford Taurus/Taurus X,"4-door sedan, hardtop",2008.0,1FAHP24W48G1,1,F,A,H,P,2,4,W,4,8,G,1,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,Top,Not Reported,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
